Chr	Pos	PB	Pos_depth	PB_depth	Pos_HBV	PB_HBV	sample_label
chr1	14679192	NA	49	NA	826 (-)	NA	T
chr1	162869909	NA	84	NA	1300 (-)	NA	N
chr1	NA	161046614	NA	106	NA	536 (-)	N
chr1	NA	185096616	NA	45	NA	2128 (+)	N
chr1	NA	203520276	NA	37	NA	1759 (-)	N
chr1	NA	229446173	NA	11	NA	2966 (-)	T
chr1	NA	48909387	NA	80	NA	133 (-)	T
chr10	42400679	NA	52	NA	2994 (+)	NA	T
chr11	68599749	NA	11	NA	2966 (-)	NA	T
chr11	87245544	NA	77	NA	157 (-)	NA	T
chr12	NA	59436898	NA	131	NA	2891 (+)	N
chr14	95128373	NA	171	NA	360 (+)	NA	N
chr15	84807114	NA	61	NA	384 (-)	NA	N
chr15	NA	65010145	NA	160	NA	315 (+)	N
chr15	NA	84140049	NA	126	NA	353 (-)	T
chr19	40907243	NA	82	NA	1829 (+)	NA	T
chr19	NA	36222412	NA	313	NA	1764 (+)	T
chr19	NA	7186276	NA	35	NA	2198 (-)	T
chr2	62717949	62718929	1057	787	1814 (+)	1493 (-)	T
chr2	88051903	NA	64	NA	708 (-)	NA	T
chr2	NA	155338509	NA	80	NA	2938 (+)	N
chr2	NA	62717822	NA	57	NA	1775 (+)	N
chr2	NA	62717906	NA	128	NA	1814 (+)	N
chr2	NA	87244674	NA	72	NA	708 (-)	N
chr21	28630875	NA	70	NA	700 (+)	NA	T
chr3	120625203	NA	125	NA	2587 (-)	NA	T
chr3	164597263	NA	95	NA	425 (-)	NA	T
chr3	164992704	NA	82	NA	2821 (-)	NA	T
chr3	169454093	NA	68	NA	3074 (+)	NA	T
chr3	NA	120625193	NA	125	NA	2587 (-)	N
chr3	NA	123207449	NA	62	NA	682 (-)	N
chr3	NA	182901991	NA	12	NA	2966 (-)	N
chr3	NA	24157583	NA	12	NA	2966 (-)	N
chr4	NA	176623853	NA	12	NA	2966 (-)	N
chr4	NA	49282877	NA	11	NA	94 (-)	N
chr5	32251369	NA	14	NA	2145 (-)	NA	T
chr5	NA	75917294	NA	247	NA	535 (+)	T
chr5	NA	75917326	NA	249	NA	535 (+)	T
chr7	NA	127555945	NA	78	NA	2726 (-)	N
chr7	NA	92571278	NA	50	NA	350 (-)	N
chr8	NA	101643875	NA	33	NA	1814 (+)	N
chr8	NA	130907491	NA	37	NA	163 (-)	N
chr8	NA	59952698	NA	14	NA	2145 (-)	N
chr9	NA	133627810	NA	170	NA	133 (-)	T
chr9	NA	72653115	NA	20	NA	2331 (+)	T
chrX	31922494	NA	144	NA	1768 (+)	NA	T
chrX	93254083	NA	132	NA	1493 (-)	NA	N
chrX	NA	20225018	NA	193	NA	3132 (-)	N
